,LINE_SEGMENT,BEG MP,END MP,SPEED,LENGTH (FT),CURVE NUMBER,DIRECTION,DEG OF CURVE,GRADE_TO_NEXT,index,SPEED_INDI,LENGTH (M),ELEV (M)
0,485.0,0.0,0.15,20.0,0.0,0.0,0.0,0.0,-0.09,0.0,non_speed,241.40099999999998,-0.21726089999999998
1,485.0,0.15,0.3,20.0,0.0,0.0,0.0,0.0,-0.32,1.0,non_speed,241.40099999999998,-0.9897440999999999
2,485.0,0.3,0.49,20.0,0.0,0.0,0.0,0.0,-0.56,2.0,non_speed,305.77459999999996,-2.70208186
3,485.0,0.49,0.83,20.0,0.0,0.0,0.0,0.0,-0.88,3.0,non_speed,547.1755999999999,-7.517227139999999
4,485.0,0.541,0.605,20.0,138.0,0000A,L,6.0,0.0,1.0,non_speed,102.99775999999991,-7.517227139999999
5,485.0,0.605,0.94,20.0,0.0,0.0,0.0,0.0,-0.66,4.0,non_speed,539.1288999999999,-11.07547788
6,485.0,0.94,1.079,20.0,817.0,1,L,2.06,-0.99,2.0,non_speed,223.69826,-13.290090654
7,485.0,1.079,1.36,20.0,0.0,0.0,0.0,0.0,-0.99,5.0,non_speed,452.2245400000002,-17.767113600000002
8,485.0,1.297,1.55,20.0,0.0,0.0,0.0,0.0,-0.5,6.0,non_speed,407.1630200000002,-19.802928700000002
9,485.0,1.55,1.62,20.0,858.0,0001B,R,2.08,0.0,4.0,non_speed,112.65380000000009,-19.802928700000002
10,485.0,1.62,1.691,20.0,858.0,0001B,R,2.08,-0.38,4.0,non_speed,114.26313999999992,-20.237128632
11,485.0,1.691,1.77,20.0,0.0,0.0,0.0,0.0,-0.38,8.0,non_speed,127.13785999999993,-20.7202525
12,485.0,1.77,2.0,20.0,0.0,0.0,0.0,0.0,-0.78,9.0,non_speed,370.1482,-23.607408460000002
13,485.0,2.0,2.08,20.0,1006.0,2,L,1.0,-0.37,5.0,non_speed,128.7472000000001,-24.083773100000002
14,485.0,2.08,2.149,20.0,1006.0,2,L,1.0,0.0,5.0,non_speed,111.04445999999992,-24.083773100000002
15,485.0,2.149,2.36,20.0,0.0,0.0,0.0,0.0,0.0,11.0,non_speed,339.5707399999998,-24.083773100000002
16,485.0,2.36,2.48,20.0,0.0,0.0,0.0,0.0,0.3,12.0,non_speed,193.12080000000017,-23.5044107
17,485.0,2.48,2.52,20.0,0.0,0.0,0.0,0.0,0.6,13.0,non_speed,64.37360000000005,-23.1181691
18,485.0,2.52,2.78,20.0,0.0,0.0,0.0,0.0,0.12,14.0,non_speed,418.4283999999996,-22.61605502
19,485.0,2.78,2.89,20.0,0.0,0.0,0.0,0.0,0.55,15.0,non_speed,177.0274000000005,-21.642404319999997
20,485.0,2.89,3.05,20.0,0.0,0.0,0.0,0.0,0.99,16.0,non_speed,257.4943999999995,-19.09320976
21,485.0,3.05,3.16,20.0,950.0,3,R,4.0,0.81,6.0,non_speed,177.0274000000005,-17.659287819999996
22,485.0,3.16,3.179,20.0,950.0,3,R,4.0,0.62,6.0,non_speed,30.57745999999949,-17.469707568
23,485.0,3.179,3.41,20.0,0.0,0.0,0.0,0.0,0.62,18.0,non_speed,371.7575400000005,-15.164810819999998
24,485.0,3.41,3.59,20.0,0.0,0.0,0.0,0.0,0.99,19.0,non_speed,289.68119999999954,-12.296966940000003
25,485.0,3.59,3.99,20.0,0.0,0.0,0.0,0.0,0.85,20.0,non_speed,643.7360000000006,-6.825210939999998
26,485.0,3.99,4.184,20.0,1830.0,4,R,4.01416,0.82,7.0,non_speed,312.2119599999999,-4.265072867999999
27,485.0,4.184,4.24,20.0,0.0,0.0,0.0,0.0,0.82,21.0,non_speed,90.12304000000007,-3.5260639399999985
28,485.0,4.24,4.31,20.0,0.0,0.0,0.0,0.0,0.37,22.0,non_speed,112.65379999999902,-3.109244880000002
29,485.0,4.31,4.45,20.0,0.0,0.0,0.0,0.0,0.27,23.0,non_speed,225.30760000000092,-2.5009143599999994
30,485.0,4.45,4.52,20.0,0.0,0.0,0.0,0.0,0.49,24.0,non_speed,112.65379999999902,-1.948910740000004
31,485.0,4.52,4.58,20.0,0.0,0.0,0.0,0.0,1.18,25.0,non_speed,96.5604000000008,-0.8094980199999948
32,485.0,4.58,4.81,20.0,0.0,0.0,0.0,0.0,1.04,26.0,non_speed,370.14819999999924,3.0400432599999974
33,485.0,4.81,4.911,20.0,786.0,0004A,L,1.03,0.68,8.0,non_speed,162.54333999999994,4.145337971999997
34,485.0,4.911,4.92,20.0,0.0,0.0,0.0,0.0,0.68,27.0,non_speed,14.484060000000548,4.243829580000001
35,485.0,4.92,5.15,20.0,0.0,0.0,0.0,0.0,0.14,28.0,non_speed,370.14820000000066,4.762037060000002
36,485.0,5.15,5.26,20.0,1869.0,5,L,6.0,0.0,9.0,non_speed,177.02739999999906,4.762037060000002
37,485.0,5.26,5.356,20.0,1869.0,5,L,6.0,0.19,9.0,non_speed,154.49664000000013,5.055580676000002
38,485.0,5.356,5.37,20.0,0.0,0.0,0.0,0.0,0.19,30.0,non_speed,22.530760000000377,5.098389120000002
39,485.0,5.37,5.56,20.0,0.0,0.0,0.0,0.0,0.1,31.0,non_speed,305.77459999999917,5.4041637200000014
40,485.0,5.56,5.6,20.0,0.0,0.0,0.0,0.0,0.09,32.0,non_speed,64.37360000000005,5.4620999600000015
41,485.0,5.6,5.64,20.0,0.0,0.0,0.0,0.0,0.79,33.0,non_speed,64.37360000000005,5.970651400000002
42,485.0,5.64,5.73,20.0,776.0,0005A,R,1.0,0.79,10.0,non_speed,144.8406000000012,7.114892140000012
43,485.0,5.73,5.785,20.0,776.0,0005A,R,1.0,0.5,10.0,non_speed,88.51369999999953,7.557460640000009
44,485.0,5.785,5.81,20.0,0.0,0.0,0.0,0.0,0.5,35.0,non_speed,40.23349999999914,7.758628140000005
45,485.0,5.81,5.96,20.0,0.0,0.0,0.0,0.0,0.27,36.0,non_speed,241.40100000000055,8.410410840000006
46,485.0,5.96,6.001,20.0,777.0,6,R,1.0,0.0,11.0,non_speed,65.9829400000006,8.410410840000006
47,485.0,6.001,6.02,20.0,0.0,0.0,0.0,0.0,0.0,37.0,non_speed,30.577459999998776,8.410410840000006
48,485.0,6.02,6.07,20.0,0.0,0.0,0.0,0.0,0.9,38.0,non_speed,80.46700000000114,9.134613840000016
49,485.0,6.07,6.21,20.0,0.0,0.0,0.0,0.0,0.89,39.0,non_speed,225.30759999999947,11.139851480000011
50,485.0,6.21,6.26,20.0,0.0,0.0,0.0,0.0,0.9,40.0,non_speed,80.46699999999971,11.864054480000009
51,485.0,6.26,6.32,20.0,0.0,0.0,0.0,0.0,0.19,41.0,non_speed,96.5604000000008,12.04751924000001
52,485.0,6.32,6.56,20.0,0.0,0.0,0.0,0.0,0.2,42.0,non_speed,386.24159999999887,12.820002440000009
53,485.0,6.56,6.636,20.0,811.0,0006A,L,1.0,0.67,12.0,non_speed,122.30984000000082,13.639478368000013
54,485.0,6.636,6.86,20.0,0.0,0.0,0.0,0.0,0.67,43.0,non_speed,360.4921600000003,16.054775840000016
55,485.0,6.86,6.871,20.0,812.0,0006B,R,1.0,0.1,13.0,non_speed,17.702740000000194,16.072478580000016
56,485.0,6.871,7.0,20.0,0.0,0.0,0.0,0.0,0.1,44.0,non_speed,207.6048599999993,16.280083440000016
57,485.0,7.0,7.08,20.0,0.0,0.0,0.0,0.0,0.45,45.0,non_speed,128.7472000000001,16.859445840000017
58,485.0,7.08,7.84,20.0,0.0,0.0,0.0,0.0,0.79,46.0,non_speed,1223.0983999999996,26.521923200000018
59,485.0,7.84,7.99,20.0,0.0,0.0,0.0,0.0,0.06,47.0,non_speed,241.40100000000055,26.66676380000002
60,485.0,7.99,8.23,20.0,0.0,0.0,0.0,0.0,-0.52,48.0,non_speed,386.24160000000035,24.65830748000002
61,485.0,8.23,8.42,20.0,0.0,0.0,0.0,0.0,0.3,49.0,non_speed,305.77459999999917,25.575631280000017
