,LINE_SEGMENT,BEG MP,END MP,SPEED,GRADE_TO_NEXT,DIRECTION,DEG OF CURVE,LENGTH (M),ELEV (M)
0,45.0,12.48,12.31,60.0,-0.5,L,1.0,273.58779999999985,32.26404832000001
1,45.0,12.31,12.18,60.0,-0.54,0.0,0.0,209.21420000000128,30.89610932000001
2,45.0,12.18,12.01,60.0,-0.47,0.0,0.0,273.58779999999985,29.766352640000004
3,45.0,12.01,11.85,60.0,-0.37,0.0,0.0,257.4944000000002,28.480489980000005
4,45.0,11.85,11.7,60.0,-0.27,0.0,0.0,241.40100000000052,27.527760700000005
5,45.0,11.7,11.55,60.0,-0.31,0.0,0.0,241.4009999999977,26.875978000000003
6,45.0,11.55,11.399,60.0,-0.55,0.0,0.0,243.0103400000025,26.12763490000001
7,45.0,11.399,11.39,60.0,-0.55,R,1.5,14.48405999999769,24.79107803
8,45.0,11.39,11.35,60.0,-0.53,R,1.5,64.37360000000149,24.71141570000001
9,45.0,11.35,10.77,60.0,-0.51,R,1.5,933.4172,24.370235620000003
10,45.0,10.77,10.6,60.0,-0.0,0.0,0.0,273.58779999999985,19.6098079
11,45.0,10.6,10.306,60.0,0.03,0.0,0.0,473.1459600000008,19.6098079
12,45.0,10.306,10.29,60.0,0.03,R,2.10833,25.74944000000002,19.751751688
13,45.0,10.29,10.19,60.0,-0.06,R,2.10833,160.93399999999943,19.75947652
14,45.0,10.19,10.08,60.0,-0.25,R,2.10833,177.02739999999906,19.66291612
15,45.0,10.08,9.75,60.0,-0.19,0.0,0.0,531.0822000000001,19.22034762
16,45.0,9.75,9.62,60.0,-0.21,0.0,0.0,209.21420000000128,18.21129144
17,45.0,9.62,9.43,60.0,-0.16,0.0,0.0,305.7745999999992,17.771941619999996
18,45.0,9.43,9.419,60.0,-0.24,0.0,0.0,17.702739999998766,17.282702259999997
19,45.0,9.419,9.28,60.0,-0.24,L,2.1,223.6982600000018,17.240215684
20,45.0,9.28,9.19,60.0,-0.31,L,2.1,144.84059999999977,16.703339859999996
21,45.0,9.19,9.11,60.0,-0.27,L,2.1,128.7472000000001,16.254333999999997
22,45.0,9.11,9.0,60.0,-0.57,0.0,0.0,177.02739999999906,15.906716559999998
23,45.0,9.0,8.813,60.0,-0.46,0.0,0.0,300.946579999999,14.897660380000003
24,45.0,8.813,8.81,60.0,-0.46,L,1.83,4.828020000000183,13.513306112000008
25,45.0,8.81,8.46,60.0,-0.44,L,1.83,563.2689999999994,13.491097220000007
26,45.0,8.46,8.405,60.0,-0.46,0.0,0.0,88.5137000000024,11.01271362000001
27,45.0,8.405,8.4,60.0,-0.46,L,0.75,8.046699999998399,10.6055506
28,45.0,8.4,8.3,60.0,-0.45,L,0.75,160.93399999999943,10.568535780000008
29,45.0,8.3,8.14,60.0,-0.8,0.0,0.0,257.4944000000002,9.844332780000007
30,45.0,8.14,8.115,60.0,-0.0,0.0,0.0,40.23350000000057,7.784377580000007
31,45.0,8.115,8.03,60.0,-0.0,R,4.0,136.79390000000137,7.784377580000007
32,45.0,8.03,7.802,60.0,-0.45,0.0,0.0,366.9295199999996,7.784377580000007
33,45.0,7.802,7.65,60.0,-0.45,L,2.0,244.6196799999988,6.133194740000009
34,45.0,7.65,7.59,60.0,-0.39,0.0,0.0,96.5604000000008,5.032406180000015
35,45.0,7.59,7.54,60.0,-0.53,0.0,0.0,80.46699999999971,4.655820620000012
36,45.0,7.54,7.49,60.0,-0.32,0.0,0.0,80.46699999999971,4.229345520000013
37,45.0,7.49,7.42,60.0,-0.34,0.0,0.0,112.65380000000046,3.9718511200000144
38,45.0,7.42,7.414,60.0,-0.47,0.0,0.0,9.656040000000363,3.588828200000013
39,45.0,7.414,7.29,60.0,-0.47,L,4.16,199.55815999999945,3.5434448120000117
40,45.0,7.29,7.19,60.0,-0.32,L,4.16,160.93399999999943,2.6055214600000136
41,45.0,7.19,7.06,60.0,-0.58,0.0,0.0,209.21420000000128,2.090532660000016
42,45.0,7.06,6.975,60.0,-0.35,0.0,0.0,136.79389999999992,0.8770903000000084
43,45.0,6.975,6.89,60.0,-0.35,R,4.16666,136.79389999999992,0.3983116500000087
44,45.0,6.89,6.79,60.0,-0.25,R,4.16666,160.93399999999943,-0.0804669999999909
45,45.0,6.79,6.67,60.0,-0.6,0.0,0.0,193.12080000000017,-0.4828019999999895
46,45.0,6.67,6.57,60.0,-0.39,0.0,0.0,160.93399999999943,-1.6415267999999903
47,45.0,6.57,6.5,60.0,-0.7,0.0,0.0,112.65380000000046,-2.2691693999999885
48,45.0,6.5,6.36,60.0,-0.44,0.0,0.0,225.30759999999947,-3.057745999999992
49,45.0,6.36,6.31,60.0,-0.66,0.0,0.0,80.46700000000114,-4.049099439999989
50,45.0,6.31,6.21,60.0,-0.37,0.0,0.0,160.93399999999943,-4.580181639999997
51,45.0,6.21,6.14,60.0,-0.55,0.0,0.0,112.65380000000046,-5.175637439999995
52,45.0,6.14,6.0,60.0,-0.27,0.0,0.0,225.30759999999947,-5.795233339999998
53,45.0,6.0,5.89,60.0,-0.63,0.0,0.0,177.0274000000005,-6.403563859999997
54,45.0,5.89,5.834,60.0,-0.41,0.0,0.0,90.12304000000007,-7.51883648
55,45.0,5.834,5.8,60.0,-0.41,L,3.1,54.717559999999686,-7.888340944
56,45.0,5.8,5.7,60.0,-0.55,L,3.1,160.93399999999943,-8.11268294
57,45.0,5.7,5.62,60.0,-0.24,L,3.1,128.7472000000001,-8.997819939999996
58,45.0,5.62,5.513,60.0,-0.47,0.0,0.0,172.19938000000033,-9.306813219999995
59,45.0,5.513,5.49,60.0,-0.47,R,3.25,37.014819999999496,-10.116150305999998
60,45.0,5.49,5.42,60.0,-0.17,R,3.25,112.65380000000046,-10.290119959999997
61,45.0,5.42,5.316,60.0,-0.49,0.0,0.0,167.37136000000015,-10.481631419999996
62,45.0,5.316,5.3,60.0,-0.49,L,1.83333,25.74944000000002,-11.301751083999996
63,45.0,5.3,5.17,60.0,0.1,0.0,0.0,209.2141999999998,-11.427923339999996
64,45.0,5.17,5.09,60.0,-0.0,0.0,0.0,128.7472000000001,-11.218709139999996
65,45.0,5.09,4.952,60.0,0.39,0.0,0.0,222.08891999999983,-11.218709139999996
66,45.0,4.952,4.9,60.0,0.39,L,4.0,83.68567999999935,-10.352562351999996
67,45.0,4.9,3.87,60.0,-0.0,0.0,0.0,1657.6202000000003,-10.026188199999998
68,45.0,3.87,3.75,60.0,0.12,0.0,0.0,193.12080000000017,-10.026188199999998
69,45.0,3.75,3.6,60.0,-0.05,0.0,0.0,241.40099999999984,-9.794443239999998
70,45.0,3.6,3.52,60.0,-0.0,0.0,0.0,128.7472000000001,-9.915143739999998
71,45.0,3.52,3.39,60.0,0.15,0.0,0.0,209.2141999999998,-9.915143739999998
72,45.0,3.39,3.371,60.0,0.33,0.0,0.0,30.577460000000205,-9.60132244
73,45.0,3.371,3.29,60.0,0.33,R,2.96666,130.35653999999994,-9.500416821999998
74,45.0,3.29,3.12,60.0,0.32,0.0,0.0,273.58779999999985,-9.07024024
75,45.0,3.12,3.07,60.0,0.09,0.0,0.0,80.46700000000043,-8.19475928
76,45.0,3.07,2.945,60.0,0.31,0.0,0.0,201.1675,-8.122338979999999
77,45.0,2.945,2.94,60.0,0.31,L,0.5,8.046699999999827,-7.498719729999999
78,45.0,2.94,2.8,60.0,0.42,0.0,0.0,225.30760000000015,-7.473774959999999
79,45.0,2.8,2.73,60.0,0.35,0.0,0.0,112.65379999999972,-6.527483039999998
80,45.0,2.73,2.595,60.0,0.26,0.0,0.0,217.26089999999965,-6.13319474
81,45.0,2.595,2.58,60.0,0.26,R,2.0,24.1401000000002,-5.5683164000000005
82,45.0,2.58,2.52,60.0,0.26,R,2.0,96.56040000000009,-5.50555214
83,45.0,2.52,2.44,60.0,0.1,R,2.0,128.7472000000001,-5.2544951
84,45.0,2.44,2.111,60.0,0.37,0.0,0.0,529.4728599999995,-5.1257479
85,45.0,2.111,2.03,60.0,0.37,R,2.0,130.35654000000065,-3.166698318000001
86,45.0,2.03,1.95,60.0,0.24,R,2.0,128.74719999999974,-2.6843791199999987
87,45.0,1.95,1.84,60.0,0.18,0.0,0.0,177.0273999999998,-2.3753858399999994
88,45.0,1.84,1.7,60.0,0.08,0.0,0.0,225.30760000000015,-2.05673652
89,45.0,1.7,1.48,60.0,0.22,0.0,0.0,354.05479999999994,-1.8764904399999995
