,LINE_SEGMENT,BEG MP,END MP,SPEED,GRADE_TO_NEXT,DIRECTION,DEG OF CURVE,LENGTH (M),ELEV (M)
0,11.0,162.48,162.6,50.0,0.0,L,5.0,193.1208000000073,0.0
1,11.0,162.6,163.93,50.0,-0.02,0.0,0.0,2140.42220000002,-0.428084440000004
2,11.0,162.845,162.994,50.0,0.0,L,5.0,239.79166000000143,-0.428084440000004
3,11.0,162.994,164.26,50.0,0.0,0.0,0.0,2037.4244399999857,-0.428084440000004
4,11.0,164.26,164.295,50.0,-0.53,L,2.0,56.32689999999451,-0.7266170099999749
5,11.0,164.295,164.82,50.0,-0.53,0.0,0.0,844.9035000000091,-5.204605560000023
6,11.0,164.568,164.737,50.0,0.0,R,1.56666,271.9784599999722,-5.204605560000023
7,11.0,164.737,165.07,50.0,-0.76,0.0,0.0,535.9102199999974,-9.277523232000004
8,11.0,165.07,165.09,50.0,0.0,L,1.53333,32.18680000001646,-9.277523232000004
9,11.0,165.09,165.202,50.0,0.57,L,1.53333,180.2460799999916,-8.250120576000052
10,11.0,165.202,165.47,50.0,0.57,0.0,0.0,431.30312000000106,-5.791692792000046
11,11.0,165.47,165.75,50.0,0.66,0.0,0.0,450.6152000000018,-2.817632472000034
12,11.0,165.75,165.96,50.0,-0.27,0.0,0.0,337.9614000000128,-3.730128252000069
13,11.0,165.96,166.13,50.0,-0.05,0.0,0.0,273.58779999997984,-3.8669221520000585
14,11.0,166.13,166.21,50.0,-0.36,R,1.01,128.74720000002011,-4.330412072000131
15,11.0,166.21,166.54,60.0,-0.36,0.0,0.0,531.0821999999744,-6.242307992000039
16,11.0,166.339,166.54,60.0,0.0,L,0.75,323.4773399999894,-6.242307992000039
17,11.0,166.54,166.639,60.0,-0.71,L,0.75,159.3246600000289,-7.373513078000244
18,11.0,166.639,166.93,60.0,-0.71,0.0,0.0,468.3179399999949,-10.698570452000208
19,11.0,166.93,166.95,60.0,0.0,L,0.75,32.186799999970724,-10.698570452000208
20,11.0,166.95,167.003,60.0,0.6,L,0.75,85.2950199999956,-10.186800332000235
21,11.0,167.003,167.68,60.0,0.6,0.0,0.0,1089.5231800000336,-3.649661252000034
22,11.0,167.68,167.82,60.0,-1.23,0.0,0.0,225.30759999997804,-6.420944731999764
23,11.0,167.82,168.18,60.0,-0.49,0.0,0.0,579.3624000000219,-9.259820491999871
24,11.0,168.18,168.38,60.0,-0.22,0.0,0.0,321.8679999999817,-9.96793009199983
25,11.0,168.38,168.57,60.0,0.0,0.0,0.0,305.7745999999963,-9.96793009199983
26,11.0,168.57,168.85,60.0,0.3,0.0,0.0,450.6152000000018,-8.616084491999825
27,11.0,168.85,168.99,60.0,0.68,0.0,0.0,225.30760000002377,-7.083992811999663
28,11.0,168.99,169.09,60.0,-0.51,0.0,0.0,160.93399999999085,-7.904756211999616
29,11.0,169.09,169.16,60.0,0.0,0.0,0.0,112.65379999998902,-7.904756211999616
30,11.0,169.16,169.27,60.0,0.43,0.0,0.0,177.02740000002194,-7.143538391999522
31,11.0,169.27,169.42,60.0,-0.67,0.0,0.0,241.4009999999634,-8.760925091999276
32,11.0,169.42,169.49,60.0,-0.37,0.0,0.0,112.65380000003476,-9.177744151999404
33,11.0,169.49,169.93,60.0,-0.57,0.0,0.0,708.1095999999962,-13.21396887199938
34,11.0,169.93,170.05,60.0,-0.3,0.0,0.0,193.1208000000073,-13.793331271999405
35,11.0,170.05,170.29,60.0,-0.67,0.0,0.0,386.24159999996886,-16.381149991999195
36,11.0,170.29,170.69,60.0,0.19,0.0,0.0,643.7360000000091,-15.158051591999175
37,11.0,170.69,170.74,60.0,0.0,0.0,0.0,80.46700000001829,-15.158051591999175
38,11.0,170.74,171.01,60.0,0.17,0.0,0.0,434.5217999999707,-14.419364531999229
39,11.0,171.01,171.15,60.0,0.17,0.0,0.0,225.30760000002377,-14.036341611999186
40,11.0,171.15,171.34,60.0,0.17,0.0,0.0,305.7745999999963,-13.516524791999192
41,11.0,171.34,171.4,60.0,-0.43,0.0,0.0,96.56040000000364,-13.931734511999208
42,11.0,171.4,171.6,60.0,-0.72,0.0,0.0,321.8679999999817,-16.249184111999075
43,11.0,171.6,172.08,60.0,0.6,0.0,0.0,772.4832000000292,-11.6142849119989
44,11.0,172.08,172.1,60.0,0.59,0.0,0.0,32.186799999970724,-11.424382791999074
45,11.0,172.1,172.31,60.0,0.0,0.0,0.0,337.9614000000128,-11.424382791999074
46,11.0,172.31,173.48,60.0,-0.55,0.0,0.0,1882.92779999998,-21.78048569199896
47,11.0,173.48,174.2,60.0,-0.3,0.0,0.0,1158.724799999998,-25.25666009199896
48,11.0,174.133,174.27,60.0,-0.5,0.0,0.0,220.4795800000007,-26.35905799199896
49,11.0,174.27,174.36,60.0,-0.66,0.0,0.0,144.84060000000548,-27.315005951998995
